id,project_a,project_b,weight_a,weight_b,size_a,size_b,forks_count_a,forks_count_b,stars_count_a,stars_count_b,open_issues_count_a,open_issues_count_b,subscribers_count_a,subscribers_count_b,watchers_count_a,watchers_count_b,age_days_a,age_days_b,days_since_update_a,days_since_update_b,releases_count_a,releases_count_b,pull_requests_count_a,pull_requests_count_b,contributors_count_a,contributors_count_b,deployments_count_a,deployments_count_b,grade_active_a,grade_active_b,grade_code_a,grade_code_b,grade_compl_a,grade_compl_b,grade_Eth_a,grade_Eth_b,grade_fund_a,grade_fund_b,grade_market_a,grade_market_b,grade_perspect_a,grade_perspect_b,languages_score_a,languages_score_b
2,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/nomicfoundation/hardhat,0.1016685195,0.8983314805,4658,193759,75,1479,731,7481,12,534,12,76,731,7481,2458,2489,2,0,30,30,30,30,21,30,0,30,30,55,70,75,10,75,70,85,1,25,1,25,70,75,72,74
3,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/consensys/teku,0.66944575473,0.33055424527,4658,542992,75,306,731,692,12,149,12,33,731,692,2458,2344,2,0,30,30,30,30,21,30,0,30,30,10,70,65,10,70,70,85,1,1,1,1,70,70,72,50
4,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/solidity,0.44902172113,0.55097827887,4658,78615,75,5960,731,23829,12,551,12,733,731,23829,2458,3460,2,0,30,30,30,30,21,30,0,0,30,85,70,85,10,75,70,85,1,75,1,75,70,75,72,53
5,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/remix-project,0.49839639443,0.50160360557,4658,251423,75,1082,731,2574,12,826,12,68,731,2574,2458,1784,2,0,30,30,30,30,21,30,0,30,30,10,70,65,10,45,70,75,1,1,1,25,70,75,72,53
6,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/go-ethereum,0.27250272366,0.72749727634,4658,216618,75,20515,731,48264,12,283,12,2208,731,48264,2458,4059,2,0,30,30,30,30,21,30,0,30,30,100,70,85,10,77,70,95,1,100,1,100,70,90,72,49
7,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/chainsafe/lodestar,0.29091816311,0.70908183689,4658,399293,75,323,731,1237,12,259,12,33,731,1237,2458,2420,2,0,30,30,30,30,21,30,0,30,30,30,70,75,10,60,70,70,1,1,1,1,70,70,72,53
9,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/openzeppelin/openzeppelin-contracts,0.36277160654,0.63722839346,4658,47771,75,11924,731,25299,12,277,12,640,731,25299,2458,3110,2,0,30,30,30,30,21,30,0,30,30,70,70,85,10,75,70,85,1,45,1,75,70,75,72,65
10,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/eth-infinitism/account-abstraction,0.34421922095,0.65578077905,4658,3264,75,681,731,1601,12,5,12,40,731,1601,2458,1108,2,1,30,4,30,30,21,24,0,0,30,10,70,65,10,35,70,60,1,1,1,1,70,75,72,55
11,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/crate-crypto/go-ipa,0.7171862555,0.2828137445,4658,360,75,14,731,33,12,10,12,3,731,33,2458,1211,2,58,30,0,30,30,21,3,0,15,30,10,70,35,10,5,70,60,1,1,1,1,70,40,72,78
12,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/libp2p/go-libp2p,0.2370975136,0.7629024864,4658,59206,75,1107,731,6214,12,274,12,180,731,6214,2458,3416,2,0,30,30,30,30,21,30,0,0,30,10,70,75,10,40,70,60,1,1,1,30,70,75,72,54
14,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/alloy-rs/core,0.544486083,0.455513917,4658,3545,75,170,731,821,12,34,12,22,731,821,2458,691,2,1,30,30,30,30,21,30,0,0,30,10,70,75,10,35,70,65,1,1,1,1,70,70,72,52
16,https://github.com/prysmaticlabs/prysm,https://github.com/ethers-io/ethers.js,0.50142507311,0.49857492689,166982,157522,1063,1926,3511,8094,303,570,128,103,3511,8094,2582,3127,0,0,30,30,30,30,30,1,0,30,75,75,75,75,70,60,85,85,1,75,45,75,75,75,51,59
