id,project_a,project_b,weight_a,weight_b,project_a_age_days,project_a_days_since_update,project_a_forks,project_a_stars,project_a_open_issues,project_a_size,project_a_subscribers_count,project_a_forks_ratio,project_a_stars_ratio,project_a_size_ratio,project_b_age_days,project_b_days_since_update,project_b_forks,project_b_stars,project_b_open_issues,project_b_size,project_b_subscribers_count,project_b_forks_ratio,project_b_stars_ratio,project_b_size_ratio
2,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/nomicfoundation/hardhat,0.1016685195,0.8983314805,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362
3,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/consensys/teku,0.66944575473,0.33055424527,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,2341,0,307,692,156,541074,33,0.4436416184971098,0.001278937816269124,0.0005673900427667934
4,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/solidity,0.44902172113,0.55097827887,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,3458,0,5947,23809,552,78321,732,0.24977949514889328,0.30399254350685,0.07593110404616897
5,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/remix-project,0.49839639443,0.50160360557,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,1781,0,1076,2569,817,252626,68,0.4188400155702608,0.010169182902789103,0.004259260725341018
6,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/ethereum/go-ethereum,0.27250272366,0.72749727634,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,4056,0,20497,48249,298,205691,2210,0.4248170946548115,0.23457030205502427,0.09964947421131698
7,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/chainsafe/lodestar,0.29091816311,0.70908183689,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,2417,0,320,1229,258,398587,33,0.26037428803905616,0.0030833920825315427,0.000802836018234413
9,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/openzeppelin/openzeppelin-contracts,0.36277160654,0.63722839346,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,3107,0,11914,25283,284,47704,640,0.471225724795317,0.529997484487674,0.24974844876739896
10,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/eth-infinitism/account-abstraction,0.34421922095,0.65578077905,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,1105,4,682,1600,6,3248,40,0.42625,0.49261083743842365,0.20997536945812809
11,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/crate-crypto/go-ipa,0.7171862555,0.2828137445,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,1208,55,14,33,10,360,3,0.42424242424242425,0.09166666666666666,0.03888888888888889
12,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/libp2p/go-libp2p,0.2370975136,0.7629024864,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,3413,0,1105,6208,274,59167,180,0.17799613402061856,0.10492335254449271,0.018675951121402135
14,https://github.com/prettier-solidity/prettier-plugin-solidity,https://github.com/alloy-rs/core,0.544486083,0.455513917,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948,688,0,170,820,35,3487,22,0.2073170731707317,0.23515916260395756,0.04875250932033266
16,https://github.com/prysmaticlabs/prysm,https://github.com/ethers-io/ethers.js,0.50142507311,0.49857492689,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516,3124,0,1925,8087,569,157522,103,0.2380363546432546,0.05133886060359823,0.01222051522961872
17,https://github.com/prysmaticlabs/prysm,https://github.com/nomicfoundation/hardhat,0.68306836544,0.31693163456,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362
19,https://github.com/prysmaticlabs/prysm,https://github.com/prettier-solidity/prettier-plugin-solidity,0.94121853588,0.05878146412,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516,2455,2,75,731,12,4577,12,0.10259917920656635,0.1597116014856893,0.016386279222197948
20,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/solidity,0.9999562421,4.37579e-05,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516,3458,0,5947,23809,552,78321,732,0.24977949514889328,0.30399254350685,0.07593110404616897
21,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/remix-project,0.9999562421,4.37579e-05,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516,1781,0,1076,2569,817,252626,68,0.4188400155702608,0.010169182902789103,0.004259260725341018
22,https://github.com/prysmaticlabs/prysm,https://github.com/ethereum/go-ethereum,0.7649580757,0.2350419243,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516,4056,0,20497,48249,298,205691,2210,0.4248170946548115,0.23457030205502427,0.09964947421131698
24,https://github.com/prysmaticlabs/prysm,https://github.com/bluealloy/revm,0.9991800254,0.0008199746,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516,1223,0,616,1744,68,35637,29,0.3532110091743119,0.04893790161910374,0.017285405617756825
25,https://github.com/prysmaticlabs/prysm,https://github.com/openzeppelin/openzeppelin-contracts,0.92951415195,0.07048584805,2579,0,1062,3509,309,166453,127,0.30265032772869765,0.02108102587517197,0.0063801793899779516,3107,0,11914,25283,284,47704,640,0.471225724795317,0.529997484487674,0.24974844876739896
28,https://github.com/sigp/lighthouse,https://github.com/nomicfoundation/hardhat,0.65388466552,0.34611533448,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,2486,0,1476,7476,533,194084,76,0.19743178170144463,0.038519403969415306,0.007604954555759362
29,https://github.com/sigp/lighthouse,https://github.com/consensys/teku,0.94084263926,0.05915736074,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,2341,0,307,692,156,541074,33,0.4436416184971098,0.001278937816269124,0.0005673900427667934
35,https://github.com/sigp/lighthouse,https://github.com/bluealloy/revm,0.7781466545,0.2218533455,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,1223,0,616,1744,68,35637,29,0.3532110091743119,0.04893790161910374,0.017285405617756825
36,https://github.com/sigp/lighthouse,https://github.com/openzeppelin/openzeppelin-contracts,0.66091121186,0.33908878814,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,3107,0,11914,25283,284,47704,640,0.471225724795317,0.529997484487674,0.24974844876739896
37,https://github.com/sigp/lighthouse,https://github.com/protofire/solhint,0.93131616667,0.06868383333,2404,1,797,3054,464,132643,69,0.26096922069417156,0.02302420783607126,0.006008609576080155,2667,8,172,1055,26,3297,21,0.16303317535545023,0.3199878677585684,0.052168638155899304
