size,forks_count,stars_count,open_issues_count,subscribers_count,watchers_count,age_days,days_since_update,releases_count,pull_requests_count,contributors_count,deployments_count,repo_url,grade_active,grade_code,grade_compl,grade_Eth,grade_fund,grade_market,grade_perspect,languages_score
26733,3014,22698,198,397,22698,5084,0,30,30,30,30,https://github.com/mochajs/mocha,65,77,45,15,1,1,75,54
3576,281,2109,108,41,2109,3426,15,6,30,30,0,https://github.com/chzyer/readline,30,68,40,45,1,1,65,50
1118,4217,33061,34,1025,33061,4235,0,23,30,30,0,https://github.com/gulpjs/gulp,75,75,40,30,1,1,70,81
67146,8933,64999,242,1456,64999,4716,0,30,30,30,0,https://github.com/webpack/webpack,77,75,65,60,1,1,85,50
9473,1967,22535,40,249,22535,3356,0,30,30,30,30,https://github.com/redux-saga/redux-saga,70,75,35,30,15,70,75,53
122509,5663,43393,790,804,43393,3783,0,30,30,30,30,https://github.com/babel/babel,77,75,75,30,50,1,85,73
417,944,11206,80,139,11206,4818,4,30,30,30,0,https://github.com/debug-js/debug,30,80,15,30,1,1,65,80
32152,33722,208312,602,5853,208312,4210,0,30,30,30,0,https://github.com/vuejs/vue,77,75,70,20,1,77,75,80
380,449,5178,90,53,5178,5354,0,0,30,30,0,https://github.com/marak/colors.js,10,1,5,20,1,1,10,75
125743,3007,30987,271,449,30987,3616,0,2,30,30,12,https://github.com/reactivex/rxjs,75,75,60,50,1,1,70,66
842,49,1060,2,10,1060,2478,1,0,27,11,0,https://github.com/webreflection/flatted,10,15,5,25,1,1,45,50
5894,267,4085,0,91,4085,4559,24,23,30,30,0,https://github.com/level/levelup,10,65,1,45,1,1,60,54
31658,1551,25565,581,255,25565,3555,0,30,30,30,30,https://github.com/rollup/rollup,75,76,65,25,77,45,75,75
543,15,64,9,4,64,2055,10,0,8,30,11,https://github.com/go-task/slim-sprig,10,55,15,50,1,1,35,75
4784,742,6760,24,83,6760,4472,0,2,30,29,19,https://github.com/mikemcl/bignumber.js,30,75,20,65,1,45,70,53
162499,15789,115362,969,2826,115362,4318,0,30,30,30,30,https://github.com/electron/electron,70,75,70,25,1,7,85,50
6436,93,794,77,10,794,2621,8,0,30,30,30,https://github.com/xtuc/webassemblyjs,30,75,25,65,1,1,70,60
15924,426,10668,122,35,10668,2714,0,30,30,30,30,https://github.com/gregberge/svgr,10,75,35,30,1,1,75,76
24917,1117,17626,345,96,17626,2812,0,30,30,30,30,https://github.com/emotion-js/emotion,30,75,15,60,1,1,70,34
130,24,275,0,7,275,3777,3,11,22,5,0,https://github.com/wooorm/markdown-table,10,75,10,25,1,1,30,49
132460,800,3056,455,69,3056,2407,0,30,30,30,30,https://github.com/sigp/lighthouse,10,75,65,85,1,35,80,50
157522,1926,8094,570,103,8094,3127,0,30,30,1,30,https://github.com/ethers-io/ethers.js,75,75,60,85,75,75,75,59
166982,1063,3511,303,128,3511,2582,0,30,30,30,0,https://github.com/prysmaticlabs/prysm,75,75,70,85,1,45,75,51
805,11,14,7,5,14,3111,597,0,30,13,0,https://github.com/pnpm/cmd-shim,10,65,15,10,1,1,35,50
26760,615,1541,6,171,1541,2108,0,30,30,30,30,https://github.com/coinbase/coinbase-wallet-sdk,30,65,45,70,1,10,75,72
1957,574,14816,162,52,14816,2157,0,30,30,30,0,https://github.com/sindresorhus/type-fest,45,70,30,20,1,1,70,50
365630,1255,31607,427,152,31607,2603,0,30,30,30,24,https://github.com/swc-project/swc,10,78,45,60,1,1,70,75
3,12,298,0,5,298,4031,69,0,4,1,0,https://github.com/bradfitz/iter,10,70,15,40,1,1,60,71
43662,4638,25523,96,316,25523,4239,0,30,30,30,0,https://github.com/eslint/eslint,77,75,70,45,1,1,85,49
94401,733,1495,65,73,1495,2355,0,30,30,30,30,https://github.com/walletconnect/walletconnect-monorepo,30,65,70,85,1,10,75,54
193759,1479,7481,534,76,7481,2489,0,30,30,30,30,https://github.com/nomicfoundation/hardhat,55,75,75,85,25,25,75,74
145254,4457,49899,1441,419,49899,2990,0,30,30,30,30,https://github.com/prettier/prettier,80,85,65,40,1,1,80,69
165,96,756,15,12,756,4990,0,3,30,26,0,https://github.com/qix-/color-convert,10,45,5,30,1,1,30,54
34,59,911,17,7,911,4193,0,0,20,7,0,https://github.com/mafintosh/pump,10,15,20,20,1,1,30,54
541,206,893,27,23,893,4351,13,11,30,17,0,https://github.com/dcodeio/long.js,10,45,1,30,1,1,30,50
22367,37,345,2,10,345,3887,26,0,6,6,13,https://github.com/sheetjs/js-crc32,10,55,5,25,1,1,20,51
62815,1658,24783,41,256,24783,4221,0,30,30,30,30,https://github.com/zloirock/core-js,30,75,30,30,1,1,70,55
83,12,113,1,5,113,2580,45,0,9,3,0,https://github.com/jedisct1/go-minisign,10,75,15,50,1,1,65,51
54,22,8,6,2,8,2003,28,0,7,1,0,https://github.com/heim-rs/darwin-libproc,10,65,25,30,1,1,35,51
33702,319,4828,97,50,4828,3585,1,30,30,30,30,https://github.com/cssnano/cssnano,30,75,30,15,1,1,60,54
715683,47498,232033,962,6636,232033,4275,0,30,30,30,30,https://github.com/facebook/react,85,85,85,25,100,85,85,75
68455,2768,15485,380,91,15485,2215,0,30,30,30,0,https://github.com/typescript-eslint/typescript-eslint,70,75,65,30,1,5,75,53
5838,852,28030,53,155,28030,2595,0,30,30,30,30,https://github.com/immerjs/immer,75,85,45,20,1,10,75,80
768,173,5443,27,69,5443,2603,7,21,30,13,0,https://github.com/lukeed/polka,10,75,25,65,1,20,65,50
2245,240,985,20,50,985,4858,7,9,30,30,1,https://github.com/salesforce/tough-cookie,20,45,30,10,1,1,30,50
35381,2737,12382,916,195,12382,3523,0,30,30,30,23,https://github.com/pytest-dev/pytest,75,77,35,75,50,1,75,79
12410,824,4972,498,158,4972,3009,1,30,30,30,15,https://github.com/vyperlang/vyper,10,65,45,70,1,35,70,50
5361,1684,14230,92,260,14230,2455,0,30,30,30,0,https://github.com/pion/webrtc,75,75,70,45,1,1,75,45
37489,887,14030,285,112,14030,3550,0,30,30,30,30,https://github.com/ajv-validator/ajv,10,70,55,75,1,1,75,50
2391,867,19448,6,109,19448,4233,0,0,30,30,0,https://github.com/motdotla/dotenv,10,75,15,10,1,1,65,54
