repo_url,languages,%
https://github.com/mochajs/mocha,JavaScript,99.03
https://github.com/chzyer/readline,Go,100.0
https://github.com/gulpjs/gulp,JavaScript,100.0
https://github.com/webpack/webpack,JavaScript,97.62
https://github.com/redux-saga/redux-saga,JavaScript,82.37
https://github.com/redux-saga/redux-saga,TypeScript,16.18
https://github.com/babel/babel,TypeScript,68.84
https://github.com/babel/babel,JavaScript,30.41
https://github.com/debug-js/debug,JavaScript,100.0
https://github.com/vuejs/vue,TypeScript,96.64
https://github.com/marak/colors.js,JavaScript,100.0
https://github.com/reactivex/rxjs,TypeScript,90.76
https://github.com/reactivex/rxjs,JavaScript,5.74
https://github.com/webreflection/flatted,JavaScript,66.27
https://github.com/webreflection/flatted,PHP,19.38
https://github.com/webreflection/flatted,Python,13.42
https://github.com/level/levelup,JavaScript,100.0
https://github.com/rollup/rollup,JavaScript,86.39
https://github.com/rollup/rollup,TypeScript,11.48
https://github.com/go-task/slim-sprig,Go,100.0
https://github.com/mikemcl/bignumber.js,JavaScript,98.91
https://github.com/electron/electron,C++,56.73
https://github.com/electron/electron,TypeScript,32.37
https://github.com/electron/electron,Objective-C++,5.72
https://github.com/xtuc/webassemblyjs,JavaScript,99.38
https://github.com/gregberge/svgr,TypeScript,64.93
https://github.com/gregberge/svgr,MDX,20.67
https://github.com/gregberge/svgr,JavaScript,14.4
https://github.com/emotion-js/emotion,JavaScript,68.13
https://github.com/emotion-js/emotion,TypeScript,31.63
https://github.com/wooorm/markdown-table,JavaScript,100.0
https://github.com/sigp/lighthouse,Rust,99.62
https://github.com/ethers-io/ethers.js,TypeScript,66.73
https://github.com/ethers-io/ethers.js,JavaScript,33.21
https://github.com/prysmaticlabs/prysm,Go,93.6
https://github.com/prysmaticlabs/prysm,Starlark,5.55
https://github.com/pnpm/cmd-shim,TypeScript,73.35
https://github.com/pnpm/cmd-shim,JavaScript,26.65
https://github.com/coinbase/coinbase-wallet-sdk,TypeScript,89.49
https://github.com/coinbase/coinbase-wallet-sdk,JavaScript,7.46
https://github.com/sindresorhus/type-fest,TypeScript,99.75
https://github.com/swc-project/swc,Rust,96.96
https://github.com/bradfitz/iter,Go,100.0
https://github.com/eslint/eslint,JavaScript,99.54
https://github.com/walletconnect/walletconnect-monorepo,TypeScript,98.94
https://github.com/nomicfoundation/hardhat,TypeScript,90.15
https://github.com/nomicfoundation/hardhat,Solidity,6.23
https://github.com/prettier/prettier,JavaScript,82.63
https://github.com/prettier/prettier,TypeScript,5.95
https://github.com/qix-/color-convert,JavaScript,89.03
https://github.com/qix-/color-convert,TypeScript,10.97
https://github.com/mafintosh/pump,JavaScript,100.0
https://github.com/dcodeio/long.js,JavaScript,97.26
https://github.com/sheetjs/js-crc32,Python,60.55
https://github.com/sheetjs/js-crc32,JavaScript,39.43
https://github.com/zloirock/core-js,JavaScript,99.81
https://github.com/jedisct1/go-minisign,Go,100.0
https://github.com/heim-rs/darwin-libproc,Rust,99.28
https://github.com/cssnano/cssnano,CSS,77.39
https://github.com/cssnano/cssnano,JavaScript,22.14
https://github.com/facebook/react,JavaScript,71.03
https://github.com/facebook/react,TypeScript,25.26
https://github.com/typescript-eslint/typescript-eslint,TypeScript,88.45
https://github.com/typescript-eslint/typescript-eslint,MDX,7.8
https://github.com/immerjs/immer,JavaScript,38.65
https://github.com/immerjs/immer,TypeScript,27.43
https://github.com/immerjs/immer,MDX,22.8
https://github.com/immerjs/immer,HTML,10.68
https://github.com/lukeed/polka,JavaScript,100.0
https://github.com/salesforce/tough-cookie,TypeScript,67.11
https://github.com/salesforce/tough-cookie,JavaScript,32.79
https://github.com/pytest-dev/pytest,Python,99.99
https://github.com/vyperlang/vyper,Python,99.79
https://github.com/pion/webrtc,Go,99.79
https://github.com/ajv-validator/ajv,TypeScript,97.87
https://github.com/motdotla/dotenv,JavaScript,98.89
https://github.com/postcss/postcss,TypeScript,59.34
https://github.com/postcss/postcss,JavaScript,40.66
https://github.com/wighawag/hardhat-deploy,TypeScript,69.23
https://github.com/wighawag/hardhat-deploy,Solidity,30.49
https://github.com/mozilla/source-map,JavaScript,74.64
https://github.com/mozilla/source-map,Rust,19.67
https://github.com/floating-ui/floating-ui,TypeScript,66.42
https://github.com/floating-ui/floating-ui,MDX,19.46
https://github.com/floating-ui/floating-ui,JavaScript,13.12
https://github.com/browserslist/browserslist,JavaScript,100.0
https://github.com/consensys/teku,Java,99.81
https://github.com/mattn/go-isatty,Go,96.65
https://github.com/node-fetch/node-fetch,JavaScript,98.36
https://github.com/clap-rs/clap,Rust,89.71
https://github.com/clap-rs/clap,Shell,6.45
https://github.com/prettier-solidity/prettier-plugin-solidity,Solidity,53.53
https://github.com/prettier-solidity/prettier-plugin-solidity,JavaScript,46.47
https://github.com/yarnpkg/yarn,JavaScript,98.68
https://github.com/epoberezkin/fast-deep-equal,JavaScript,100.0
https://github.com/fb55/entities,TypeScript,99.8
https://github.com/ljharb/qs,JavaScript,100.0
https://github.com/ethereum/remix-project,TypeScript,62.07
https://github.com/ethereum/remix-project,JavaScript,19.92
https://github.com/ethereum/remix-project,CSS,15.49
https://github.com/ethereum/solidity,C++,53.95
https://github.com/ethereum/solidity,Solidity,31.72
https://github.com/ethereum/solidity,Yul,8.16
https://github.com/ethereum/go-ethereum,Go,89.37
https://github.com/ethereum/go-ethereum,C,5.2
https://github.com/rich-harris/magic-string,JavaScript,99.97
https://github.com/axios/axios,JavaScript,87.81
https://github.com/axios/axios,TypeScript,10.28
https://github.com/webdriverio/webdriverio,TypeScript,94.43
https://github.com/tokio-rs/tokio,Rust,100.0
https://github.com/colorjs/color-name,JavaScript,100.0
https://github.com/numpy/numpy,Python,60.64
https://github.com/numpy/numpy,C,34.05
https://github.com/vweevers/module-error,JavaScript,100.0
https://github.com/brooooooklyn/snappy,Rust,50.01
https://github.com/brooooooklyn/snappy,TypeScript,34.86
https://github.com/brooooooklyn/snappy,JavaScript,14.57
https://github.com/vercel/swr,TypeScript,99.22
https://github.com/mysticatea/abort-controller,TypeScript,65.23
https://github.com/mysticatea/abort-controller,JavaScript,34.77
https://github.com/import-js/eslint-plugin-import,JavaScript,99.12
https://github.com/getsentry/sentry-javascript,TypeScript,92.11
https://github.com/getsentry/sentry-javascript,JavaScript,6.23
https://github.com/humanwhocodes/object-schema,JavaScript,100.0
https://github.com/wevm/viem,TypeScript,97.71
https://github.com/streetsidesoftware/cspell,TypeScript,78.13
https://github.com/streetsidesoftware/cspell,C++,11.82
https://github.com/streetsidesoftware/cspell,JavaScript,6.72
https://github.com/bluealloy/revm,Rust,99.94
https://github.com/chainsafe/lodestar,TypeScript,98.81
https://github.com/pandas-dev/pandas,Python,90.28
https://github.com/pandas-dev/pandas,Cython,5.95
https://github.com/boa-dev/boa,Rust,99.92
https://github.com/inikulin/parse5,TypeScript,97.82
https://github.com/openzeppelin/openzeppelin-contracts,Solidity,45.86
https://github.com/openzeppelin/openzeppelin-contracts,JavaScript,44.39
https://github.com/openzeppelin/openzeppelin-contracts,Python,6.02
https://github.com/nodeca/js-yaml,JavaScript,96.28
https://github.com/formatjs/formatjs,TypeScript,85.99
https://github.com/formatjs/formatjs,Starlark,10.4
https://github.com/yahoo/serialize-javascript,JavaScript,100.0
https://github.com/tklauser/go-sysconf,Go,100.0
https://github.com/kaelzhang/node-ignore,JavaScript,95.21
https://github.com/mmcloughlin/addchain,Go,94.54
https://github.com/mmcloughlin/addchain,Shell,5.46
https://github.com/google/flatbuffers,C++,38.44
https://github.com/google/flatbuffers,Rust,12.62
https://github.com/google/flatbuffers,Python,6.96
https://github.com/google/flatbuffers,Swift,6.36
https://github.com/google/flatbuffers,Java,6.02
https://github.com/google/flatbuffers,C#,5.76
https://github.com/google/flatbuffers,JavaScript,5.45
https://github.com/vitest-dev/vitest,TypeScript,94.48
https://github.com/crate-crypto/go-ipa,Go,84.66
